	log2fc	bh_corrected
GDH1	-2.583590035	0.002415606
IRC15	1.128352267	0.002410332
RSM27	-1.682313122	0.002568936
STE2	-5.02924718	0.002573288
MRPL50	-0.909241174	0.002559038
COX3	-3.124283502	0.002563664
QCR8	-2.162128507	0.002579901
FMP43	2.508270662	0.002598618
MRPL16	-1.109508218	0.002610394
MSS51	-1.348940935	0.002594083
PYK2	0.753899305	0.002630777
NDI1	-1.507653272	0.002656934
ARG2	-0.877545303	0.002708967
KGD2	-1.51651861	0.002749726
PET127	-1.366549109	0.002761352
CAR2	0.792769139	0.002756392
GAT2	-1.087327475	0.002775049
BAR1	-4.598726681	0.002933198
MTC3	-0.840608726	0.002926142
AAC1	1.340437259	0.002916451
MSW1	-1.081178448	0.002939139
COX16	-2.294878075	0.002950035
ACS2	-0.286561664	0.002941904
ATO3	2.902631613	0.002926364
HST3	0.671233111	0.002923303
YDL157C	-1.60339741	0.002950101
YHM2	-1.950505477	0.002955821
LEU5	-1.408752829	0.002951094
MIR1	-1.761363255	0.00294014
CAT2	1.759685394	0.002985073
SLI1	0.555922862	0.003033684
YHR202W	0.456467634	0.003040344
AGX1	-2.936423186	0.003109563
IDP3	1.423662061	0.0031
SBE2	-0.366008598	0.003145837
YGR250C	-0.794917387	0.003229519
YLR253W	-0.851007549	0.003220495
ODC1	-1.924654697	0.003222365
STF2	-1.086998367	0.003228834
COX15	-1.220101393	0.003211546
TAM41	-1.042905977	0.003209852
SST2	-1.486862231	0.00319
PKP2	-0.7215758	0.00326347
GLG2	-0.88306069	0.00324941
ATP6	-3.024107259	0.003330305
SVL3	-0.295222094	0.003381021
ATP4	-2.222981918	0.003414292
PCL7	-0.778341714	0.003448904
RRG1	-1.771573312	0.003537113
ATP15	-1.296223626	0.003546029
AIM22	-0.787677724	0.003533675
YOR022C	-0.557512839	0.003549012
MSC6	-0.563091113	0.003542143
COQ9	-1.255083957	0.003534071
GDH2	0.9375115	0.003539448
CBT1	-1.110015159	0.003613015
YNL054W-B	-1.505669386	0.003613505
APM2	0.710256807	0.003642828
MRF1	-0.579995598	0.003680827
CWP1	-2.01592322	0.003683497
YMR166C	-2.341828999	0.003709143
MRH4	-1.152468739	0.003755181
SEF1	-0.861726325	0.003752234
MIA40	-0.98291256	0.003854372
SNO4	2.196033303	0.003864269
ATP3	-1.56501985	0.003859457
MON1	0.33270064	0.003892379
YMR122W-A	-1.497010022	0.003922475
GIP2	1.697871787	0.00390671
RSM7	-0.859595949	0.00388522
CMC2	-1.027817284	0.00390467
YLR290C	-0.642752564	0.003890654
MNE1	-1.409831965	0.003871083
PTP3	0.389105303	0.003867849
NQM1	1.888217924	0.003913578
COX2	-3.718569251	0.003911318
SSP1	-0.232993078	0.003938769
ATP5	-1.782288173	0.00394219
MDL1	-1.107425618	0.0039481
TFC4	0.226602986	0.00401826
MRPS28	-1.089596188	0.004017337
MXR1	0.543147454	0.004005981
PDR3	1.357087299	0.004047669
YBL059W	-0.934034953	0.004102127
LDB19	0.334450793	0.004091126
YOR289W	0.662076309	0.004071561
AIM32	-0.715426182	0.004078331
OYE3	-1.708069201	0.004064934
AI4	-2.366121323	0.004055913
PET112	-0.932408783	0.004035685
TCA17	0.309279547	0.004043154
BCS1	-0.701529014	0.004100537
MRPL10	-0.946843806	0.00412115
MRPL27	-1.092571283	0.004114547
CSN9	0.704793971	0.004094219
COQ1	-0.698615799	0.004209695
RPM2	-1.068328099	0.004204525
YJR096W	0.634134935	0.004195846
YPR117W	-0.74022541	0.004234455
RSF2	-0.937678569	0.004481788
HEM1	-0.989686607	0.004536192
MRPS12	-1.539646735	0.004522103
YNL095C	1.516412963	0.004513135
PDR5	2.049157254	0.004525073
YDR336W	-1.314798747	0.00451299
ADR1	-1.334056772	0.004504474
SYG1	0.455134708	0.004510253
ATG5	0.568991444	0.004675017
MRPL20	-1.040227305	0.004671594
YKR070W	-0.315618271	0.004685993
NFS1	-0.534829189	0.004669753
POS5	-0.673707135	0.004696483
EXO5	-1.336014412	0.004852554
PDC5	0.575406559	0.004954006
MTF2	-0.927885348	0.004951225
MRPL22	-0.885875949	0.00494021
HMLALPHA2	1.367560421	0.004944528
HBT1	1.948745825	0.004935198
INP2	0.460046365	0.004992425
MIS1	-0.590989836	0.004974983
YGL039W	0.552468003	0.004955316
YNL092W	0.474267642	0.004939703
CAT8	-0.702054016	0.004926319
COQ6	-0.42369912	0.004906487
PTC6	-0.820221214	0.004893871
ATP10	-0.709946049	0.00494141
PET309	-1.066121517	0.004920416
RTR2	0.777380426	0.004907811
FMC1	-1.119737092	0.004935322
IMD4	-0.94905568	0.004923021
RAD33	0.263366016	0.004946663
BRE2	0.253135079	0.004932539
HOR2	1.14797974	0.004940032
YDR282C	-1.564484587	0.004930335
MNN1	-2.052052479	0.004912549
MST28	0.740170147	0.004928138
RSM19	-1.21038975	0.004918016
VAC17	1.62072398	0.004935511
GPT2	0.674147977	0.004996675
URA2	0.277239152	0.004978672
MRPS9	-1.501325977	0.005052889
RTS3	2.44310334	0.005035308
RML2	-1.45766242	0.005075158
VPS3	0.273478477	0.005189135
SLS1	-0.757982664	0.00522953
POX1	1.61335546	0.005219414
VAR1	-2.562673448	0.005199682
YHR162W	3.688170893	0.005239659
MRPL8	-1.120601613	0.005252924
SBE22	-0.753129399	0.005293978
ATM1	-0.778492265	0.00531676
COX14	-0.854988369	0.005318369
HSP31	-0.934295921	0.0053035
RRG8	-1.737696929	0.005414216
LCB4	-0.357210216	0.005462976
SDH3	-1.256466264	0.005449726
MTQ1	-0.854462366	0.005480088
MSS18	-0.835880987	0.005476649
RHR2	1.701236935	0.005475706
PXA1	1.57331955	0.005551395
IRR1	0.393644585	0.005554876
LPD1	-0.980206872	0.005582407
UGA1	0.747523327	0.005653782
RPI1	-1.116561453	0.00578668
ARA2	0.744333218	0.005772194
YFR045W	-1.040357824	0.005777545
AIM23	-1.193430509	0.005866979
QRI7	-0.684821643	0.005853775
MAL12	0.997431024	0.005832899
YNK1	-1.102970091	0.005866573
CPA2	0.938016928	0.00586159
AIF1	0.475911154	0.00587516
ATP18	-2.592392943	0.00587866
PFK26	0.722848521	0.005875988
ATP25	-1.400008449	0.005858248
MRPL36	-1.093311613	0.005851686
YMR185W	0.360239506	0.005835431
EHT1	-1.117045003	0.005863884
HXT2	4.582735983	0.005881578
POL31	0.179630588	0.00593075
IMP1	-0.718468546	0.005912547
MHT1	0.383288439	0.005892462
GTT1	0.648785229	0.005901709
TPO1	-2.305901209	0.005904126
UTR1	0.356868572	0.005904672
YHB1	-2.747623966	0.005884479
HNM1	-0.97247985	0.005966712
RGI2	1.315247535	0.006012573
DBP1	0.649009386	0.006010763
COX7	-2.804521767	0.006097738
YPL236C	0.37758301	0.006089719
SRO77	0.928245142	0.006087848
YIL055C	1.533519058	0.006117764
MSE1	-0.625528295	0.006157641
RNY1	0.462385808	0.006141569
AMS1	1.31278386	0.006176405
AEP2	-0.679723266	0.006180911
ICL2	0.833929142	0.006189252
YKL100C	0.593322857	0.006205754
PCD1	0.514323627	0.006227031
YML131W	0.985757256	0.006329344
PXA2	1.029815376	0.006458832
ECM19	-0.834384312	0.006673847
VPS27	0.250968639	0.006687811
YDR514C	-0.282025654	0.006693114
SUC2	0.991661667	0.006673402
MRPL11	-0.608103935	0.006726916
SOD2	-0.966955032	0.006825782
GDB1	0.827897474	0.007151356
NKP2	0.403197078	0.00713139
CHS3	-0.460799636	0.007162787
HSP150	-0.564457048	0.007145588
RSM10	-0.81998072	0.007181372
FMP33	-1.505483304	0.007173455
MF(ALPHA)1	5.117925086	0.007188486
YEL047C	0.86970036	0.007174668
YJL185C	0.788287577	0.007202062
MRP20	-0.699962517	0.007207452
HER1	0.357830301	0.007195908
PLB2	0.987195748	0.00721976
YEH1	1.15656266	0.007204199
MRPS17	-1.266448038	0.00725578
HER2	-1.034461548	0.007361554
YBL010C	-0.216007247	0.007403765
YMR114C	0.782065377	0.00741178
CCE1	-1.046235255	0.00752443
DAL2	-1.131297021	0.007549472
SAG1	4.14535584	0.007532003
CAT5	-0.712344606	0.00751518
CIT3	1.80470806	0.007529323
ADH6	0.306403784	0.00761451
MDL2	-1.076870873	0.007648186
MRM1	-1.173584744	0.007637127
MDH2	-0.844975751	0.007640363
ATP12	-0.68311522	0.007797111
POR2	0.83876435	0.007895962
GYP7	0.252904784	0.008001613
ATH1	0.713695237	0.008039419
HEF3	2.589192128	0.008042986
PHR1	0.575776714	0.008140979
MRPL35	-0.700365975	0.008185424
NPC2	0.897628567	0.008183911
YKL133C	-0.795350102	0.008177615
AKR2	0.423018694	0.008188873
YIM1	0.320215853	0.008221977
CYC1	-1.566619948	0.008200243
"ARG5,6"	-0.937164377	0.008257843
MRS3	-1.163663478	0.008281346
PET100	-1.044234756	0.008305766
DOG1	-1.65584057	0.008340693
FOL3	0.454470838	0.008425131
HAP1	0.74746787	0.008492538
YAP6	0.974167382	0.008524101
MRPL9	-1.037625816	0.008637237
DIF1	1.103937624	0.008668588
YPT35	0.59473012	0.00868424
UFD4	0.274693104	0.008678283
NPR3	0.207992396	0.008668287
UGA2	0.815388786	0.008681578
CMC1	-1.103996594	0.008680197
AFG1	-0.938213156	0.008776901
TPP1	0.360858424	0.008771945
1-Oct	-1.002970367	0.008780359
MSR1	-0.49059442	0.0088827
FBP1	-3.030572267	0.008862339
MRPS16	-1.411415881	0.008974699
AIM13	-1.315511268	0.008996507
PEX34	0.42571354	0.008999012
ALD3	1.23031718	0.009061135
AIM10	-0.720421165	0.00904399
MRPL19	-1.151753965	0.009135282
CIR2	-0.481696672	0.009329051
ULP1	0.221872639	0.009318377
RGS2	-0.428235364	0.009359629
TIM22	-0.582972319	0.009555198
AIM46	-0.897316219	0.009547921
DNM1	-0.371570702	0.009555507
PHO3	-0.960697563	0.009571152
RSM18	-1.42495408	0.009557718
ECM4	0.681215459	0.009665703
CAF130	0.25499061	0.009714894
ATG1	0.358860276	0.009762954
PUT2	-0.693991557	0.009761811
RNR2	0.629519812	0.009736801
NUR1	0.346336517	0.009753679
YGR021W	-0.797142636	0.009734773
VTH1	0.569747181	0.009900538
TPC1	-1.132641989	0.009905741
AAC3	0.759284373	0.009928524
HAS1	-0.19278071	0.00996072
MEC1	0.398246305	0.009948704
QDR3	0.751390383	0.009952299
TYW1	-0.48165562	0.009941305
YAH1	-0.634827379	0.010074749
YMR147W	0.468941769	0.010167628
ATP1	-1.444796056	0.010196233
PYC2	0.901743759	0.010327958
TIM18	-0.494695342	0.010330844
FIS1	-0.595457037	0.010314166
MSC1	1.249415993	0.010340836
SSE2	0.447915291	0.010420746
OCA2	0.432717901	0.010460545
TIM21	-0.699415565	0.010461014
YCL057C-A	-1.550758324	0.010457005
HIS4	1.22115341	0.010447911
YMR210W	-0.627439407	0.010424283
GRX8	-0.378137212	0.010402627
NAM2	-0.467859581	0.010438765
PET494	-1.550535044	0.010483229
CTA1	2.258559265	0.01048873
GSM1	-1.521128491	0.010489297
ILV1	-0.848623437	0.010482626
YER077C	-0.716222214	0.010477447
YRO2	-1.640643459	0.010678723
FMP45	2.13210859	0.010661179
ERG28	0.836243575	0.010647177
YDR541C	1.089836859	0.010692397
SEN34	0.311693419	0.010677465
PAC11	0.384292877	0.010660257
RSM24	-1.311005923	0.010684968
YLR177W	0.491557758	0.010707824
YPL168W	-0.719285265	0.010715677
GPD2	0.769756469	0.010693711
MOH1	2.250978142	0.010685657
MRP13	-0.561610869	0.010719723
PDS5	0.300734466	0.010710428
YJL133C-A	1.022818212	0.010748943
AFG3	-0.480420836	0.010866178
MRPL40	-0.936284135	0.010862121
ATP20	-3.089300256	0.010873086
ATG23	0.514603518	0.010873433
SUT1	1.320180003	0.010896121
LRO1	0.291163957	0.011230139
STR3	0.4828065	0.011277621
CCP1	-0.407351867	0.011415847
CBP1	-0.748611043	0.011484473
SLM3	-0.642127261	0.011515217
TDA1	0.85320841	0.011590468
IMO32	-0.686900622	0.011636321
CAB3	0.176779003	0.011615222
LAC1	1.222010965	0.011595472
ERG12	0.375620057	0.011577956
PEX3	0.297518147	0.011563551
ERG6	0.623422643	0.01158385
MAE1	1.572521046	0.011562413
YNL194C	2.067524293	0.011631913
PDR10	0.672934054	0.011608334
GEP5	-0.838143534	0.011616977
SDS24	0.519872821	0.011647287
MSN2	-0.379565271	0.011634061
VPS28	0.249445787	0.011638144
YHR112C	0.465377406	0.01172998
ECM38	0.843581593	0.011719115
TCM62	-0.542468117	0.011740011
IOC2	0.268491219	0.011734603
CLU1	-0.56637217	0.011859252
AIM24	-1.075784725	0.011867225
YLR072W	0.349778335	0.011899176
PEP4	0.552667989	0.012018743
RDH54	-0.357209522	0.012011543
MRPL25	-1.020601468	0.011994111
MZM1	-1.604682862	0.01203051
YRR1	0.690412454	0.01202162
FOX2	0.81289854	0.012029533
MRPL23	-0.709683682	0.012045131
NUM1	-0.432559608	0.012025738
YDL057W	0.142769891	0.012158852
NGG1	0.322882089	0.012142719
PUF2	0.23799804	0.012209331
MGS1	0.267533013	0.012215209
SHE9	-0.707386926	0.012372043
DSS1	-0.756562519	0.012378441
SCS22	0.624341505	0.012411781
MRPL28	-0.762691525	0.012397268
CHS1	-0.222364631	0.012485338
UBP15	0.388261336	0.012527166
GUD1	0.52397663	0.012510486
KTI12	0.728670443	0.012509949
CCM1	-0.693304797	0.012860563
COX6	-1.819956151	0.012865147
GTT3	0.355652749	0.012931638
COQ5	-0.928919922	0.012925937
KRE6	-0.394438995	0.01292723
UBP11	0.593607428	0.012919799
UPC2	0.805842783	0.012903013
SEA4	0.327226972	0.012888727
MSC2	0.233014022	0.012909606
MRS4	-0.582632492	0.012907911
MET6	-0.428658927	0.012964544
IMA1	0.756984722	0.013060724
YPL109C	-0.768294083	0.013285372
YKL107W	1.297365226	0.013379241
COX12	-2.580895664	0.013533656
FUS3	-0.649919056	0.013933905
IXR1	0.34919117	0.013931832
YLR211C	0.472607301	0.013932174
ARO10	-2.033041544	0.01393515
YGR035C	1.556946378	0.013913086
ACF2	0.132320156	0.013929164
YDL119C	-0.621676143	0.014063735
PHD1	1.202831482	0.0140553
LYS4	-0.392550244	0.014035616
PIC2	-1.580130451	0.014018109
NKP1	0.413162074	0.014041305
YDR132C	0.47536264	0.014037789
MRPL24	-1.161527389	0.014045773
SCH9	0.203472877	0.014143126
RRN7	0.30763269	0.014377494
OPT1	0.907468914	0.014418776
SHM2	0.224413324	0.014446731
YPL245W	-0.562485924	0.014678187
YOR059C	0.503269299	0.014666419
YFL002W-A	0.564989806	0.014849795
YKR011C	-0.347555112	0.014841967
MSS116	-0.393767231	0.014817183
SEC20	0.350879713	0.014820063
BAG7	1.054201729	0.014816357
CIS1	0.539684524	0.014883547
ACC1	0.459938785	0.014889708
PYC1	1.799249395	0.01502272
HST2	0.387141015	0.015100365
MLH1	0.2658345	0.015072397
YMR144W	0.367106754	0.015047063
MRPL32	-0.814099704	0.015028379
PHB2	-0.405460583	0.015198545
MUM2	-0.379005881	0.015186386
PMA2	2.27147436	0.015180665
OXP1	0.20020264	0.015181057
AZF1	0.377692111	0.015203946
SPO14	0.287942046	0.015224323
IPK1	0.334044602	0.015196114
GSF2	0.45518215	0.015175929
STP4	-1.395013167	0.015195841
LIP5	-0.763427517	0.01528637
DLD1	1.867333971	0.015272754
MDM36	-0.664700747	0.015311523
RPN14	0.3414637	0.015397004
KAP120	0.29698092	0.0154004
MRPL3	-0.396440643	0.01547535
IZH3	1.324262961	0.015459137
LCL3	-0.818399271	0.015450014
YKL151C	0.615117999	0.015598509
HAL9	0.43567801	0.015628913
YJL206C	0.515922181	0.015734369
TAF11	0.107219416	0.015757947
SDS23	0.223477457	0.015754587
RSA1	0.352323918	0.01578262
FAR11	0.184293613	0.015833043
HXT7	0.586671486	0.015882007
STR2	0.57781164	0.015901814
ANP1	0.259043277	0.015897722
SMF1	-0.745549046	0.015948522
YKL023C-A	-0.849790335	0.015974121
GTB1	0.313667086	0.01607663
GUF1	-0.59584407	0.016052225
MRP2	-1.339492668	0.016102429
APL3	0.123520097	0.016134797
TDA10	0.332584098	0.016200426
MRPL31	-1.925978468	0.016294307
ATG14	0.347579154	0.016289574
ADE17	1.25816832	0.016272704
SWI5	-0.503911154	0.016317668
NYV1	0.482861084	0.016448133
DED1	-0.412217413	0.016449261
PDR16	0.610354399	0.016543769
YMR295C	-0.389640172	0.016602936
FRE8	0.330550432	0.016574286
YNR064C	0.569426369	0.016699598
SMC5	0.451598144	0.01704535
OM45	-0.666878985	0.017032454
PGM2	0.683907852	0.017044578
FSF1	-0.998913709	0.017038013
ENO2	0.517150766	0.017307586
ARO9	-0.334538747	0.017284168
SRP102	0.20041858	0.017255617
YPR114W	0.452653527	0.017297474
AIM31	-0.527996578	0.017482714
SWT1	0.256771674	0.017505114
STE5	-0.330953755	0.017677564
ORT1	-0.563348793	0.017817481
GAT1	-0.615221729	0.01789821
YOX1	-0.479300839	0.01789414
HAL1	-0.360034814	0.017896902
YUH1	0.393624118	0.01790396
YLR132C	-0.525999734	0.017955526
FRA1	0.222742675	0.01803949
SNU114	0.193965062	0.018082638
MRP1	-0.343755045	0.018094703
LEE1	-0.485522544	0.018164652
MRPS8	-0.805682231	0.018183065
SDH2	-2.961825969	0.018533643
TKL2	1.403039522	0.018722
MRPL4	-1.000410067	0.018707533
PET191	-1.168329301	0.018686733
PST2	0.373261789	0.018730848
YNR040W	-0.309009908	0.018831642
SOV1	-0.378123648	0.018931361
MET10	0.399375123	0.019066928
PEX2	0.350586023	0.019061244
CDC45	0.21298321	0.019195392
YMR196W	0.720289039	0.019172713
SWS2	-1.152639394	0.019165153
TGL3	0.326911471	0.019152354
FUR1	-0.339584554	0.019131192
GNT1	0.389761096	0.019138085
SIP18	1.938791641	0.019257256
MIP1	0.280064313	0.019290501
RIM4	-0.862728229	0.01930053
YDR119W-A	-5.506777684	0.019318636
MRH1	-1.248921103	0.019538379
YHR078W	0.358533262	0.019554689
SDA1	-0.266693995	0.019662139
HSH155	0.292026914	0.019656151
YKR018C	0.225877605	0.01965712
RPH1	0.410523427	0.019636212
SIR3	0.324940138	0.019668046
YOR238W	0.356423928	0.019796563
MON2	0.239590583	0.019962741
NBP1	0.335266158	0.020255269
MPT5	-0.527353454	0.020331151
RAX2	0.524430216	0.020777339
GRE2	0.440730678	0.020787713
RKM3	0.241683315	0.02076174
GUT2	-0.462819377	0.020816691
TIP1	0.76935868	0.020788288
CYC2	-0.734058225	0.020759631
MRPL7	-0.746410217	0.020798383
RAS2	0.574464701	0.020775376
AFT1	0.360019289	0.02079111
HIS5	0.952633003	0.020767612
UBX6	-0.337035136	0.020748889
MET14	0.73848471	0.020722902
FZO1	-0.388044057	0.020699162
MEC3	0.325206186	0.020788865
GEP4	-0.456304888	0.020759234
CST26	0.453669322	0.020753716
LIP2	-0.632480672	0.020778533
SGA1	0.950099094	0.020783647
PAR32	0.514446461	0.020855675
TIM17	-0.665913361	0.02082484
MRPL13	-0.932907885	0.021004954
HXT5	2.350573408	0.020989158
CDC13	0.289616563	0.020975467
YGR266W	0.408076996	0.02096405
DOP1	0.218806342	0.021074947
YPL014W	-0.481517643	0.021087576
ADE3	0.486530525	0.021074386
JEN1	0.512290715	0.021185595
COX20	-0.43854518	0.021223087
ACB1	0.332482564	0.021292433
YCS4	0.196587952	0.021292741
YOR052C	-0.770876402	0.021262699
KRI1	0.267399261	0.021316144
FET3	-0.723377194	0.021323869
UBP1	0.182075582	0.021353704
ASF1	0.408466859	0.021393226
PDI1	-0.144674264	0.021436568
IKI1	0.263695089	0.02151988
ECM30	0.272128096	0.021635389
SPS100	4.212849039	0.021724632
VAC8	0.217722292	0.021810312
PFK2	0.264389735	0.021909903
SPC97	0.266245342	0.021990745
MMR1	-0.447235772	0.022061126
MBA1	-0.855859334	0.022035549
MSH1	-0.47293084	0.022186196
RIM2	-0.834100251	0.022206915
YJL055W	0.355892693	0.022518909
OGG1	0.669974017	0.022573046
ISA1	-0.319058497	0.022568507
CHA1	-1.002524113	0.022541943
MLP2	0.240281493	0.022579704
TBS1	0.445636137	0.022618026
BIO4	-0.582625003	0.022611872
PEX28	0.702909693	0.022682747
SAL1	-0.702588925	0.022733127
PCL10	0.432318213	0.022903889
OAF1	0.214126243	0.022921276
MAG1	0.583394286	0.023228212
NEM1	0.512914366	0.023197155
SHM1	-0.259334834	0.023168384
SAC7	0.2695907	0.023137064
GPI8	0.465513774	0.023110911
FAS2	-0.562292445	0.023080378
TUF1	-0.67437772	0.023127583
TCP1	-0.222003215	0.023177614
ICE2	0.406858172	0.023287651
SNO1	1.966373955	0.02326254
ILV3	-0.428131223	0.023313406
EMP46	0.488657237	0.023373024
YER121W	0.865608977	0.02354783
YBR238C	0.472694268	0.023616717
YDR341C	-0.134922157	0.023647262
LSC2	-0.470440342	0.023618535
CRP1	0.398771346	0.023739582
DFR1	0.570790373	0.02377774
MDV1	-0.379716992	0.023755983
LAP3	0.518727004	0.023860886
PET54	-0.585470356	0.02384747
LRG1	0.277157558	0.023916959
MSF1	-0.268432992	0.023957669
BAP3	-0.544349392	0.024097231
NDE1	-1.096310302	0.024315654
GEF1	0.292398498	0.024297617
YPR003C	0.313981531	0.024268334
TAF3	0.141294666	0.024234585
SYF1	0.195743542	0.024267632
ARP6	0.32047192	0.024251864
YBL005W-A	0.765934609	0.02431066
BUD32	0.21990188	0.024289606
GPM2	0.855690861	0.024367248
YNL200C	0.524871107	0.024414735
YBL095W	-1.420486382	0.024593343
CYC7	-0.879670612	0.024627835
PST1	-0.772734319	0.02459879
IMG2	-0.816297302	0.024797949
COQ10	-0.858692093	0.024954235
NUT1	0.340081218	0.024959561
FUM1	-1.390503967	0.025079159
PFA4	0.379479653	0.025182133
YBR242W	-0.186452119	0.025174392
NUP157	0.232490452	0.025176831
PSO2	0.369828542	0.025159847
GIP3	0.576635795	0.025149351
HFI1	0.294592089	0.025197485
PAH1	0.176470807	0.025206163
COS9	0.581271406	0.025248298
ENO1	0.543775288	0.025225525
RLP24	-0.183758538	0.025325209
DCS2	0.735375634	0.025303518
MTO1	-0.415278652	0.025278794
PRI2	0.348506395	0.025273477
PKP1	-1.004762362	0.025315864
EPT1	0.628649113	0.025315706
YGR042W	0.195378205	0.025288406
DUG1	0.106193171	0.025278275
ROG1	0.726736198	0.025268629
SAS3	0.285969654	0.02530023
YLR257W	-0.602349881	0.025270084
YHI9	0.337698887	0.025369521
CTF4	0.194608901	0.025351636
UTP23	0.254679373	0.02537347
HMI1	-0.598718807	0.025463155
CYS4	-0.445220343	0.025578759
URB1	0.065437301	0.025586533
GDI1	0.409538282	0.02555255
IOC4	0.224852378	0.025632825
DCD1	0.284862191	0.025703599
RSM26	0.54292331	0.025670933
SAM3	-0.290662736	0.025643321
PET10	0.886220516	0.025701806
FAA1	0.596413101	0.025806899
NGL3	0.831286553	0.025840685
SWI4	0.37170007	0.025999806
HYR1	0.187263561	0.025976093
YMR31	-1.271817228	0.026079513
FDH1	1.565558883	0.026054121
YDR109C	0.257898873	0.026080979
PSP2	0.235477151	0.026134286
SHE10	0.344153038	0.026174649
TPK1	0.414578174	0.026147731
CIN1	0.328444511	0.026259561
BNI1	0.158144019	0.026804057
YPR091C	0.21454934	0.026775005
RAD9	0.294565664	0.026756662
SNX4	0.240505837	0.026743048
DRS2	0.210091261	0.026753199
CTS2	0.622435769	0.026726381
GPI13	0.196135629	0.026744681
SHQ1	0.160107984	0.026746078
CTP1	-0.644042926	0.026764267
CTF19	0.28158253	0.026759124
LSC1	-0.503682881	0.026730975
YOR111W	0.269977269	0.026711077
SUV3	-0.692513075	0.026770802
YGL140C	0.356511052	0.026803315
ATP2	-1.301170159	0.026936979
ANB1	2.749713415	0.026916393
CKI1	-0.138718014	0.026902345
ISM1	-0.254977606	0.02695856
MAS2	-0.491929016	0.027212409
NUP100	0.369097925	0.027543795
RSM25	-0.672319743	0.027605152
ERG1	1.089010401	0.027596877
XYL2	0.606050252	0.027713214
PHO8	0.219595353	0.027720851
