 	mecr_fc	mecr_bh
BCL7C	0.0066615137387108	0.9237536968946394
BAK1	-0.0812013423642816	0.4531611118856116
CASP12	0.7266303864121565	0.0002221382134114
MATN2	0.3551685306360913	0.0120340427745793
TCOF1	1.0808097254882003	1.9511746621203994e-09
MNT	-0.5227541614550573	0.1211444982888881
EBF3	-0.5924090490564055	1.04177656804e-05
EEF2K	0.3544753914751172	0.0160324188373027
TROVE2	-0.393065684007091	0.0008782985068
NUMBL	0.0227098567354666	0.6597873820015759
TUFT1	-0.964024653096624	4.64365644183e-05
PEX5	0.1445375784152193	0.0945755612890322
SYPL1	-0.0018036558599713	0.9790772561032828
DSCR3	-0.2123809458090781	0.0012959985969702
GRCC10	0.8127223127352592	0.0057541397314886
ATPIF1	-0.7809246917283217	8.85842501892e-05
SLC30A4	-0.3832539060455728	0.0134050209475726
NEDD9	-0.7143085591911826	0.000278035893015
CDK2AP1	-0.0708561771879951	0.3277743575301915
DDT	-0.564262258209881	0.0288722322679012
KIFC3	0.1674242860205798	0.460652616996775
PURB	-0.7512116575292945	0.0001853619449107
KPNA6	-0.3125531682798198	0.0007399520671303
IFI203	0.9179555769844376	0.0038901859165292
PPEF2	0.3615644453480262	0.0031443449992483
HAX1	0.8122020436539583	6.8196958717817615e-09
BOK	0.7544253933940256	0.0003333416599815
FKBP8	0.1233443583160139	0.3830004192896707
EDIL3	-0.4193978003169606	0.0059830129867936
CLK3	0.1992989785599478	0.0892804842065123
CLK4	0.4147015638508569	0.1074407469185634
CDK14	-0.2020439814854697	0.0609920990403265
SCAMP3	-0.1986108506299646	0.026184053674395
ANXA3	-0.6442695454782397	0.0045971627773976
ANXA8	-0.1587066294859463	0.1320529624386708
CETN3	-0.2262781760176947	0.1507295737082386
ITGB1BP1	-0.1900457916786475	0.0452307656909966
MYADM	-0.2918599217281018	0.0025232156369759
PNN	-0.0730752232569597	0.4290273558895836
SPTLC1	-0.026261635573877	0.8367573444386255
ENC1	-1.2005219128055098	0.0007508358511363
API5	0.1775701339422362	0.0276251292022461
BCAT2	0.0486734402642768	0.3848659733909024
EMP3	-0.3306668798608511	0.0155762123010256
REM1	0.6662300855181025	0.0020369569451965
PER1	0.9174421044043932	2.07538472125e-05
SDC4	0.3829213390455762	0.0223699476985975
PTRF	0.7818291416732974	0.0040780785251536
AP3D1	-0.2487683899666003	0.026877749841977
SRPK2	-0.0339320655600593	0.5314400468387559
LIMK2	0.0260126981835131	0.7765478923443256
MLLT10	0.1514096374187522	0.0005820890036398
ZMAT3	0.0081588273036309	0.8798446770878326
HMGB3	-0.3172285680849432	0.0007777107464079
SIVA1	0.0212855784191968	0.8615992105266902
BANF1	-0.1091036417554817	0.8038430250621688
RNF13	-0.2538207596612047	0.007167049346035
TNK2	0.2511905991329559	0.0006784815247707
MAPKAPK5	-0.0603873658845631	0.7621596146469062
FKBP7	0.1686838693053006	0.0152652676254726
SNCA	0.1233011007944537	0.5134270943569582
TPMT	-0.610907465749307	9.8089657522e-05
SYNGR2	-0.1978898732866602	0.3331458139762031
STRN	0.009413692616546	0.828598844182554
NIPSNAP1	-0.5308033887871223	0.0165317645196598
GBAS	0.5961271902330109	0.0001462122397366
SEP7	0.2544016732126415	0.0002507239538878
EIF6	-0.2946830613952779	0.0087213241664732
SUPT5H	0.0017126495772885	0.9745626082050972
PDLIM3	-2.3228229440681973	0.0044953058831341
EEF1B	-0.2199248292668222	0.0143742092942044
SGCE	0.2346527450660284	0.0859971218990201
PTP4A2	-0.1911537653499654	0.0294501115256321
DGCR14	0.1738988547115781	0.0028619923827243
GPX4	0.0137179424033315	0.874207736695218
GREM1	3.3233782079705243	0.0010158962415516
CRIPT	-0.0898046498049298	0.2680604196128229
RNASEH1	-0.2919130313616206	0.0778870513670371
DXO	0.0970170059856611	0.1801541994769249
XIRP1	-4.069466436550837	0.0005078144909738
CBFA2T2	-0.0962569268074011	0.3201777594654824
EMC8	-0.446626179680414	0.0019871636119487
PDLIM1	-1.5331030874706448	9.47051611801e-05
TSPAN6	-0.979679547509022	0.0005133254973306
STX7	-0.556827892638577	0.0003005529191709
BARD1	0.6623989807238602	0.0004076537231652
TMEM131	0.5145116656347912	0.1668730474589623
SRPK1	-0.2217837667428156	0.0007654717079192
CACNG1	-0.1118189459556486	0.4279667111733012
DTNB	0.5823828712642203	0.0733916313004008
RTN2	0.6560954763463716	0.2532758665304765
COL5A1	0.235695798597509	0.1492544869545947
CFDP1	-0.6108798011559918	1.12131437445e-05
ZNF326	-0.0599930811879889	0.4625992766839533
BAZ1A	0.1418798867158977	0.5943702244283078
AVIL	3.470142332791689	2.3316242894114572e-08
ZNF106	0.027301994243647	0.8031877529046514
PLIN4	-0.1770287694759837	0.2660745494470724
DLL3	0.0243285826760961	0.7898159176393523
SHOC2	-0.3752840566596819	1.1725386399e-06
ZFR	0.3288393600710269	0.0535125869644296
PARP2	0.3995544311730209	0.0197580326168133
CLPP	0.1214012514067002	0.1986002896706144
CTBP1	0.1177260511362551	0.0514808463365588
F5	-0.0895096395290765	0.7208118602975697
JTB	-0.1318410999289387	0.1291748106514562
RBBP9	0.6551786401903373	2.804221622103506e-07
TSPYL1	-0.460194714149933	0.0066135749591736
ZFAND5	-0.1985417107371935	0.0279338095204551
SERF1	-0.0043534212530868	0.974399420696488
ZBTB7A	-0.0305674203818919	0.6954654364948705
STX8	-0.3187721928628038	0.0007352939253156
GCAT	0.2674689490038544	0.2662086107439259
OLFM1	-1.019951122921218	2.21884728233e-05
ABCD4	0.1950042510839831	0.3751705823498733
ROBO1	-0.4147566899883008	0.3095687490153964
MKLN1	-0.2378611025634107	0.0078347775379548
RBM3	0.0293573535609275	0.782010520632508
LANCL1	0.2417391717100992	0.0123868501708125
MTCO1	-0.1809332137446513	0.0284386448753404
MTCO2	-0.3409580464027523	0.0150694905185219
MTATP6	0.6326673824700918	0.0027294244858844
ODC1	-0.7469628721894201	0.00492221515102
C3	-0.1381657459185786	0.3649972764270374
C4B	-0.9360460969901722	0.0008846261619647
HBA	0.0476014419994154	0.7416914379658238
H3F3C	0.5143917452250107	0.033820558005883
CSN1S1	-0.8837969935089913	0.1380047585195714
CSN1S2	-0.4607717643775111	0.3998148707040146
LGB	-1.0315940196840614	0.1719347635910133
MT2	2.6457105603520046	0.0042709617642409
MT1	2.3626623882793205	0.0006104416377978
MTND1	0.2686692520480044	0.0348556876115947
MTND3	0.1685066192344373	0.3567745541918815
MTND4L	0.3200320659633242	0.0831877062026579
MTND4	0.5631531466821829	0.0005038142824191
MTATP8	0.7477872420644313	0.0092532575386411
IAP	0.0348524795051208	0.9206696460070574
GFAP	-0.2672849180876832	0.0380456012387265
PRL2C2	-1.213690431688586	0.1293711857155953
H2-K1	1.1722249396421904	0.0003303637475816
ARAF	0.1596000821501774	0.0256826223786668
SLC4A1	-0.145332780083851	0.5289773453523672
GOT1	-0.20088106034894	0.021000413173191
GOT2	0.700201050424391	0.0068855827667431
SRC	-1.068975637798517	3.520610273967088e-07
XLR	-0.2366490966539526	0.1048253715418956
ABCB1B	0.9672782466203576	0.0026050444271056
CTSL	-1.1831554409305856	0.0004041264606284
S100A4	-0.0974089603724467	0.6684077860282613
ERCC1	0.1206025389409286	0.3299385760434606
PDIA4	0.035302498027523	0.7328261001563745
CBR2	0.4097940666571365	0.0157242750410359
HSP90B1	-0.5507539266846261	1.3241845965e-06
COL3A1	0.5213294755679687	0.0039919876309405
SOD1	0.1534903409108079	0.0285380518556033
NEFM	-4.116223651359032	4.897216336146349e-09
NRAS	-0.0347107026376575	0.5343545407934076
LTK	0.4362103761247507	0.0281598971463623
HMGN2	0.8169454593630208	0.0359470757424249
SURF2	0.728878951267773	0.0103746887586146
PSMG4	0.263023286591647	0.1917173680067914
JMJD7	-0.0368941988516539	0.8070772964631563
LY6C1	-2.640484412670371	0.0034337502527602
TXN	-0.412843747434009	0.002102987810875
ZFP11	0.3544751753523384	0.0131020628431182
SUB1	0.2425027557878633	0.0069681443583238
COL1A1	0.2909510103373778	0.4764563776065311
GPX1	0.6659484599366328	0.0177556376274909
CDK1	-0.5781162778202403	1.59093910496e-05
TIMP1	-0.5060381471900101	0.0162132240936937
RAPSN	0.0433140863385113	0.8287728457103265
AHSG	-0.0076056502182925	0.9730280391166152
PDCD6	0.0462639607788767	0.5156875263350783
SCD2	-0.8080513838668251	0.1188612219548751
SCD1	-0.9067890874947008	0.001353433734016
MSH3	0.4673578703436914	0.0673302888963329
S100A6	-0.6660776967716387	0.0007075473862392
H2-D1	0.8696066086511788	0.0068755760424962
MAP1B	-0.2531276829113865	0.08547196954611
IFI204	0.6059226703759728	0.0019423457510472
CDH2	-0.0659344840432124	0.4852407251407642
INSR	-0.1371730393253311	0.0035269259760314
LGALS1	-0.4598472379889234	0.0009849906800934
PRKCE	-0.0441855836615507	0.7148729297695989
FGFR1	-0.3007957069513094	0.1145802175871692
CNP	-0.228884893537491	0.1116356703948198
ZFX	0.3248881234166356	0.0011516693605586
SELENBP1	0.2411050496694434	0.0275672612021626
LYZ1	0.028921848573107	0.8825827902227914
PCNA	-0.0517529447411385	0.588488347430724
CYR61	-0.5669157168055392	0.0019022712585476
SDC1	0.0007957995236146	0.9947524628554434
IFRD1	-0.0311473608422174	0.7884942850782614
F2	0.7601908650379398	5.16096886907e-05
MGP	-0.5255510738214426	0.1616978515138716
LSP1	-0.1624985943852624	0.6536793897157462
MAP2	-2.443763502607977	3.8245446578496013e-07
EVI2A	0.0588082096617273	0.6477950931453214
CST3	-0.1589128272217865	0.1859608383304663
LMNB2	-0.3366612426779681	0.0184137915203136
TGM2	-0.0449717414094621	0.884570639377206
PTGS1	0.2003734657699561	0.4410237363008678
CBL	0.3201734957580702	0.001723814718346
CRABP2	-0.6291689980248336	0.1617789754064826
HOXD11	0.0899230095219678	0.5315658606045952
ZFP36L2	-0.3062707074172939	0.0068366651874143
BCAT1	0.6021030672852757	0.0046225630499288
ACP2	0.4314042270088822	0.0014285808667542
LYN	0.1856216962575605	0.0718673724611389
EZR	-0.59218575803846	8.510699213389573e-08
MSN	-0.4809183326593994	3.6236828101e-06
RDX	0.4745539593839884	3.6886242443e-06
PTMA	-0.096603976865288	0.3865462333444923
MARCKS	-1.223303319792508	0.0003396905886901
PLAA	-0.4694888234790539	7.813174870600321e-07
CENPB	0.190254433945603	0.0009953855854992
BRAF	0.203109054193879	0.0311951113922262
CA8	-2.903424635008144	0.0161572197567341
BGN	3.3572602893771224	5.583918565024749e-13
NAP1L1	-0.2311274419276652	0.0932760522207493
ATXN10	-0.2555111183955968	0.0067505309787718
CELF1	-0.2148061827897305	0.0117264599630725
MARCKSL1	-1.1289647398269864	0.0012421312454599
PRKCD	0.0557182283373114	0.4568767539368442
FTL1	-1.2323809046488567	3.66648197343e-05
OAT	0.1326950255717935	0.1146444103662955
CDK4	-0.1347792804815479	0.1621006934031164
PPIC	0.5873911188106459	2.7744645961e-05
NKTR	-1.0161447078442094	0.226819337835252
HOXC10	-0.0882442069723756	0.4590126630808802
AKT1	-0.0389842431967848	0.4004707252086251
DRG1	0.2064500474820876	0.1505365112656774
SERPINC1	-0.3755955289903908	0.0375497987432659
KRAS	-0.2326720681805135	0.2235021724314393
KIF4	0.2673346349672706	0.0711749529874834
RAB3D	-0.0913743487034483	0.3555096964120601
RAB5C	-0.0335809807592801	0.7331666251053311
RAB21	-0.0178589196049278	0.8895709058274994
RAB12	0.1690124090329174	0.1591583327559195
RAB22A	-0.0508277931432827	0.7194643374810076
RAB23	0.2362754813765152	0.0150490620175726
RAB24	0.3495078098088593	0.0038877179289255
RAB18	0.3184786722688279	0.0890396565813456
PLAUR	0.2619543861374211	0.0363520611004861
TTK	0.5372875323904988	7.776608326603032e-09
FMR1	0.2435229115270193	1.8987907386e-06
GNL1	0.2840199833329221	5.2497658555e-05
ACVR1	0.1218293018791525	0.0950632082595486
TAGLN	0.473337518333244	0.1978706639553867
COL18A1	-1.1659898106176143	0.0571435939268101
FYN	-0.9791498223277773	2.65198434037e-05
CD82	-1.3442280408159206	0.0099113002532545
IGHMBP2	0.3924665588460872	0.0287681050817608
44441	0.1266051907319699	0.0877279983806124
STAT1	-0.0968350803606145	0.1570897214975171
STAT5A	0.1466066633495344	0.0256622946383032
STAT5B	0.328011101645828	0.0671358641355773
PURA	0.3454406498062153	0.0140122358005056
SDC2	0.1170707711943617	0.0244838109994824
AKR1B8	0.0818442480503398	0.5308934517636649
CFL2	-0.6214389365993284	0.0001274600706351
FKBP2	0.1933250592368503	0.0451683172884892
PDCD2	-0.0714066069541098	0.5380908347827316
MYO1B	0.1592595643714505	0.2890320523276661
CRYZ	0.4102554629942194	0.0038938355187036
PLA2G4A	0.993200597566289	6.338466834958305e-09
GSR	-0.1927911307514058	0.0051482192586598
EMP1	-0.2395339902942872	0.0617890002801571
MAPK14	0.0443924413466511	0.5595334656948674
LGALS7	0.2362554054992322	0.5891472294882422
FOSL2	0.6357147017147512	0.0158434331742814
EIF1	-0.0760053782074383	0.2977942240101608
SYK	-0.3109839670243352	0.1331771635844261
RFX1	0.7127662042089242	0.0137838616525768
SERPINB4	0.0360132352412756	0.8413448556315112
LMNA	-0.0001318250105707	0.9989226660221504
FPGS	-0.3563896105257823	0.0002788995474821
COX7A2	-0.3729359055542176	0.0175444792693036
MAPKAPK2	-0.0307937833917976	0.5897367508560906
CENPC	0.607349631820599	0.0048578936335391
HOXC13	0.5025920360408417	0.0660870021891588
NAT2	-0.311414603725987	0.0042763476787557
ARSB	0.2937353825757871	0.0494089093455649
SHMT1	0.571356968984699	3.5583680471e-06
CSRP3	-3.4342435196043297	0.0053236295129701
DVL1	-0.2572171239646003	0.0470932237292471
GSS	-0.5415355524741268	0.0001824760141038
NEK1	0.1780584713165905	0.1870648617228112
RHOX5	2.312894793770829	0.0895509880760226
EFNB1	1.356115698948956	1.41849863148e-05
EFNB2	-0.317833312985216	0.0447214456091942
TMEM165	0.144717139876816	0.0108160733147185
NUDT1	-0.1738856594919552	0.0320565950821473
CEBPZ	0.1998457077220285	0.3086387994776253
PKLR	0.1833958795555705	0.0592088948281983
HCCS	0.1027424436113057	0.0682111454097462
RAB2A	-0.1549205929436252	0.1664128311006172
ATXN1	-0.0295170711930403	0.7639935262261813
MSH6	0.3053755000458072	0.0035634414337093
PMS2	0.4814307459819056	0.0058808531751003
NUB1	0.1604777230647804	0.0500024666288206
FAF1	-0.188257168750387	0.0313661989742099
ADPRH	0.1441439298215006	0.1568564544033159
RAB8A	0.0431117178554662	0.6403042659394662
LRPAP1	0.1652349284597406	0.0972852062502893
ARPP19	0.2268635619837012	0.0556194972017332
RAB4A	-0.3861554742507942	0.0036559707946518
ACYP2	-0.4773697028585029	0.0129130198110727
ACYP1	-0.2099761499835625	0.010103911991425
MP68	-0.3770467929620847	0.0185151910587136
CKS2	-0.580763061751894	0.0005935108531848
COX17	-0.9138297873039442	8.3587502473e-06
SLC1A3	2.410461976543365	0.0004347596364047
MAZ	0.4472927673940777	6.33987807874e-05
PDCD5	-0.2291178703203846	0.1280916148368854
SSSCA1	-0.1732453869433275	0.2321111141077806
PCBP3	-0.0901947212833376	0.2552333340208371
ERP29	-0.3818601474682396	0.0178441881100062
TM9SF2	-0.1951062765544929	0.0005900717360034
PLSCR4	0.9787964556281846	0.0005388556763132
SMPDL3B	-0.3114052932022856	0.4187137601728294
KLF16	-0.2506453318317641	0.0193407133656215
PPP2R4	0.1435379220228108	0.0157100536085897
STRN4	-0.0481213913326054	0.5699413928680314
FOXP1	0.8425263188845644	2.601979335387533e-07
CTDSPL	1.0438329862665423	6.712964207034907e-07
CTDSP1	0.4210398887101146	0.0575783022769509
FAM207A	0.145882100113653	0.1328029173971141
PAXBP1	0.333208625213085	0.0012994126098375
RIPK2	0.2745607212926405	0.0968729216162051
GMEB2	-0.0184177443976278	0.8480784701889674
BCL2L13	0.268861961359962	0.1505050067622935
PDRG1	0.7720313006032647	2.64627632605e-05
CPNE2	1.4109492329579758	0.007215174430156
PCIF1	0.4478413310071554	0.0020100389903621
RAB2B	0.1718124681933547	0.0535856524558333
YTHDF1	-0.0755168258707728	0.0246207383652496
WDHD1	-0.0281137680333767	0.7611084815769975
HPS5	-0.1106161617738868	0.0620930283041086
ANKS1A	-0.2864249095868021	0.0192522904325119
MKL2	-0.62878316964288	0.0076368546612772
SASH1	0.3984816575104864	0.0023098956405419
PCMTD1	0.1663235645320077	0.0794918852752751
ELOF1	-0.0546302511173095	0.5423284149779315
PDXP	-0.024681322054103	0.769880193987051
ROMO1	-0.040287935316294	0.7872730093419791
CIRBP	-0.183099486643339	0.053991804648143
ENSA	0.0231726354462244	0.8490780095064376
RAB5B	-0.1236981643428127	0.377675404613682
CHP1	-0.6276295834623492	0.0007206105992475
RAB10	-0.1655086470909943	0.2010977232351575
SIAH1A	0.2873628503462968	0.2479649015162717
ARL1	-0.2203476147090779	4.4880743285e-06
NAA20	0.0904925613584723	0.2533508535472951
SUMO2	0.1225368179167173	0.2555425629604649
UFM1	-0.1621624018423416	0.1415561859557118
LMO4	0.1220410234033921	0.0595774743919451
NUTF2	-0.322681247162457	0.0140466603433368
LRCH1	0.3733622464055033	0.0031085149986864
TIMM10	-0.0245616894470784	0.8593275736944527
SNRPD3	-0.0625335964710664	0.3709532140743909
SELT	0.1949390659212404	0.4944505550182553
HPCAL1	-0.9731035575486504	4.7451364341e-05
MTPN	-1.050708410553303	0.0306728349401466
TCEB2	-0.241521085258045	0.0026199275526644
TPT1	-0.9099601164382298	0.0026914691762116
GNAS	-0.3250221060649538	0.0003254910100061
HMGB1	0.2517736496078903	0.0104512529987273
SUMO1	0.3461595140158993	0.0006440260207481
EIF5A	0.0285754767455993	0.667250673800125
CRIP1	-1.496594216041969	2.38025820088e-05
SUPT4H1A	-0.1532965939186912	0.3140546257513789
RALA	-0.4308856213883779	9.85218043127e-05
HIST1H3A	0.2340110582017776	0.2968191074575109
ZHX1	0.1293456527178859	0.1438270170968541
SBDS	-0.1369375157446565	0.040185090067306
TRAF5	0.8114468335166093	6.36762845346e-05
LXN	-0.5840975367480478	0.0011060094960043
MAP2K6	0.8558072364742636	9.793921892684095e-07
PALD1	-0.1466403522786745	0.1332705106557643
PKN1	0.6902471279916084	0.0294275817212857
RAD54L	0.3071504460905251	0.0208532790285214
PDLIM4	-0.8420841216617947	0.0003921979759189
SURF6	0.0997108879830756	0.229778272361424
AUP1	0.7635776281364557	0.035460405915978
TANK	-0.2178171118465861	0.0823809739087579
HINT1	0.2167029135438775	0.0188226438004231
SLC9A3R1	-2.204742750990984	2.1561520693e-06
EIF4EBP2	-1.979849251766009	0.0003061828227638
ERF	-0.6012465770844305	1.53687222282e-05
NACA	-0.9797534715207962	0.0041844300321804
GABPB2	0.7030268005495522	0.0003446905500368
NUCB2	-0.3138860579648579	0.0970727256842423
ATF1	0.1933638800992387	0.047777838827987
SGCD	2.4941460252501195	0.000775972289057
SGCB	1.669771253438084	0.0018042007968461
STIM2	-0.1757997838704893	0.5394275006196266
TCEB1	-0.3651601989673176	0.0167766540982136
ERH	-0.1755157631566553	0.1349296441589766
SERF2	0.0046179986302458	0.9597115440213416
TIGIT	-1.3261450789757654	0.0019191964859658
SERPINF1	0.871141664481276	0.0003895047200845
BACH1	-0.6172931296990714	0.0015510827696139
PRKDC	0.3566904705057623	0.0157448458966267
CSRP2	-0.6456564531455908	0.0171909821309107
NXN	-0.1301299847893034	0.1103245145113285
S100A13	-0.2523925867403494	0.0411353513812503
ETV6	0.3635406972331294	0.0007481785421346
SPTLC2	-0.0559285171747606	0.5401344932426715
EVI5	0.0395839162602634	0.6237373498150826
MEIS2	-0.3498247715027701	0.0139157703434948
FRG1	0.1214652018714049	0.0319338322560088
ANXA11	-1.0545382703855473	3.933067109775663e-07
ICA1	-0.1637694211279342	0.3655300014130053
LYST	0.0021139378592027	0.936227420530092
ANXA4	-0.2433545401334543	0.1848803222202832
PAM	-0.4757161798709927	0.0002388115465532
GCLC	0.4761573199607786	0.002246082554573
TEP1	0.4111219661937546	0.0059078593418731
RP9	0.4830025198533323	1.26153368926e-05
WBP2	-0.5333930826064801	0.0031039583820142
THUMPD3	0.2855681551957831	0.0422775847473997
CRY1	0.2582634131492372	0.0111345760543035
CDR2	-0.4218321093448425	0.0135939273689688
ANP32E	-0.4414159213353651	0.000221619834696
HN1	-0.9557388290098036	1.25600873723e-05
G3BP1	-0.2569328943860051	0.0016315772366662
ARVCF	-0.785710236911691	1.38217714755e-05
STX2	-0.1738952868050627	0.0012193175415529
GABPB1	-0.1393264454468036	0.4548742442091523
F8A1	-0.3705802416062539	0.0040231214003627
IL6ST	0.1280845625356052	0.126357526706595
G6PDX	0.1004575198505846	0.2889018242251731
APOA1	0.2325551863180751	0.0239680108740422
HNRNPUL2	0.1816796501873048	0.0129522761463766
CREB1	0.0086674654109467	0.8989512809703307
COL1A2	0.2429845100896417	0.3834784666716445
NOTCH1	-0.7358986325365031	0.0007745897711676
TCP11	-0.2767924874673684	0.0296079413462957
ZFP41	0.1686999573788569	0.0503930240655574
COL6A2	2.3989033005639557	0.0557045726631989
NUCB1	0.2910091171166509	0.0167623089876243
SMARCAD1	0.0153437229960432	0.6634437932011364
CDK16	-0.7327751669352511	3.197016780296677e-07
COL6A1	2.1050571229950643	0.0373088239087307
CDK18	-0.9572028749049948	8.535110730167044e-07
RCN1	0.5725093633665586	3.3627889526492065e-08
MARK2	-0.0160987734734857	0.8738125117449131
PTGS2	1.0288509836955502	0.0028375185212814
FMN1	0.3135783124608893	0.0655026151226673
PTPRG	0.3040849145674467	0.000334876320107
EML1	0.2201698996344369	0.1530545919119913
LARP7	0.246601719749599	6.1860596602e-06
SH3BP2	-0.7662215790565411	5.6732538848412e-09
ANXA7	-0.2288825001649812	0.0456480508322516
ZSCAN21	-0.1950239655956415	0.0748315529550594
HGF	0.7706872063234173	0.0967092969065386
CNN1	0.3644914584920726	0.0387646838377428
TGM3	-0.1584548657455935	0.5892480463586465
LYAR	0.4890291091056379	0.0699669628152152
ZBTB14	0.0809938293006988	0.4357968153115911
RUNX2	0.3116770480822473	0.0692086224516142
INF2	0.0551506393266579	0.2134334814381694
UBXN2B	-0.3630643238170711	0.0028160680933565
VPS8	0.2384793266333782	7.51885953392e-05
LRRIQ1	0.1028101850245821	0.415716687460086
TPPP2	0.1604866275064082	0.2174606044214263
ZC3H18	-0.16024850865776	0.0360778766864845
ZNF800	0.2589428483963388	0.0291877511264727
ZGRF1	0.4473937840473685	0.0032238726108784
TANC1	-0.0381830480533383	0.7360710150914712
PEPD	-0.3868289402173434	0.0007281359178566
KIAA1468	0.1130387044562404	0.062936305813733
FAM83H	0.5119922310779488	0.0560367346613642
DUSP27	-1.524917151134067	9.681436429042515e-07
RPUSD2	0.2318676973006254	1.1205007236652261e-08
RTKN2	0.2392067356876626	0.4169447922681709
CDCA2	1.007128289885195	4.97139692339e-05
SPECC1L	0.0467519903872724	0.4619910525871786
HSDL2	-0.5328545070877774	0.0019831036485069
HELQ	0.4130196397082688	0.0187319307924204
MSTO1	-0.1969624279181928	0.0966663510580213
DUS4L	0.5547849324621373	1.74610068536e-05
CNNM3	0.4212780682912456	0.0010330517248805
TCERG1L	0.383944670750189	0.0011014177724856
44260	0.8976399300450839	0.0051724473350333
HDDC2	-0.5538764535017594	0.0470588150450962
TMEM120B	-0.2991980535335612	0.1026380898056188
EMC10	0.1401634379722337	0.30401588834419
TMEM104	0.1459498043424428	0.0657362748531269
PLEKHF1	0.2422684432708247	0.0047117733927865
FAHD2	-0.2071576973778948	0.068054743193654
HS1BP3	0.3479209231517715	0.0440605780920231
CUL4A	0.2791867192240367	0.0270084715152445
PLBD2	-0.0876907990904417	0.3616223137175403
KIAA0907	-0.1350625717826245	0.0670170571203008
PPP1R21	-0.3158651527221199	0.0006331914331924
