 	oxsm_fc	oxsm_bh
CCDC175	-0.1920245259307333	0.0056475335891565
TTC17	-0.2630592959512856	0.1212278136968214
CHD2	-0.2216694633310229	0.3750408190603659
IRF2BP2	-0.2470417240084154	0.0125670075168213
CCDC171	-0.3244064478590032	0.2164688687278468
MYO1E	-0.5461649085546948	0.0921145494423095
CCDC85C	-0.4235337006087289	0.9279660619276456
RABL2	-0.7918894604199014	1.16432118111e-05
NCCRP1	-0.3603781334097707	0.8872584779842146
ARFGEF1	-0.5053653169959423	0.0940645286620308
DPYSL2	-0.680776370408188	0.122434813042549
GTPBP1	0.3078673250062123	0.0039250912914062
PTEN	-0.0027961639615872	3.61185702979e-05
MKNK1	-0.8868910205360475	8.2866272916e-05
MAP3K4	-0.8091848463764897	5.902351154940594e-07
BCL7C	-0.5232825512301345	0.1669843073143642
BAK1	-0.4700605555960354	0.7411598968719154
CASP12	0.9506264479641882	3.0738585996071934e-09
MATN2	0.3469738803105206	0.0002856240488394
TCOF1	-0.1915439749148188	0.1932486862771062
MNT	-1.0913838086962149	0.0652579612623344
EBF3	-0.4465517891635139	0.8636189194084408
EEF2K	-0.3227758876195677	0.1557293559290818
TROVE2	-0.6179038067283378	0.0586106807316147
NUMBL	-0.3711865544778735	0.4612263793324671
TUFT1	-1.6781292555543426	7.33592725602e-05
PEX5	-0.2700093142345555	0.4156344678434815
SYPL1	-0.3822370781095467	0.7132810150527359
DSCR3	-0.4496233304484163	0.5205756319540464
GRCC10	-0.0284645162221531	0.1498637532603307
ATPIF1	-1.1194265617010144	0.0004912986076496
SLC30A4	-0.5820456829122242	0.2100015126559476
NEDD9	-0.56148664995298	0.189492925098401
CDK2AP1	-0.7223608204396541	0.0085485092014616
DDT	-0.2333478395155733	0.2557127852140685
KIFC3	-0.0997485573634569	0.2502065275572765
PURB	-1.5393456430946209	3.1409951559e-06
KPNA6	-1.0499386552132763	0.0002358153216166
IFI203	0.8100345566234285	0.0014890310409572
PPEF2	-0.7226466621594577	0.0428931214637233
HAX1	-0.1464031258821475	0.0037757478642116
BOK	0.5411478774609304	0.0001212369296327
FKBP8	0.1468639208038404	0.0094377495037579
EDIL3	-0.3038597747582836	0.4384799454714115
CLK3	-0.6938529728151526	0.0196762357520838
CLK4	-0.1544445564789682	0.3307797164699597
CDK14	-0.369998068099762	0.6851023791887852
SCAMP3	-0.2207449368906675	0.004929562398022
ANXA3	-1.2463036424337213	0.0035520557181979
ANXA8	-0.4996543743978062	0.5922251010502756
CETN3	-0.534058946910567	0.5994723491588096
ITGB1BP1	-0.7324867089071276	0.0142270431736552
MYADM	-0.6628894481649609	0.0189640915699918
PNN	-0.5595871204645779	0.1366718862326107
SPTLC1	-0.1244916400873025	0.0788935423981519
ENC1	-1.3152049847461071	0.0059570723297868
API5	-0.3622093327333856	0.530947477697102
BCAT2	-0.4322027255986114	0.7686913255074255
EMP3	-0.5863663668861266	0.2413283026108245
REM1	0.2983963182280884	1.8529461178406256e-08
PER1	0.7751104842829544	4.0624103281268814e-08
SDC4	-0.4107380396686779	0.9761992124528756
PTRF	0.4743900549065224	0.0114747843206768
AP3D1	-0.2642467486469628	0.1464213819912225
SRPK2	-0.583800208063124	0.0102123138653005
LIMK2	-0.3422627239724465	0.6888427701128839
MLLT10	-0.3569219608044465	0.3101115483192436
ZMAT3	-0.5505434210766197	0.5580614526654327
HMGB3	-0.4421281591196787	0.8067842152123363
SIVA1	-0.5697623396004031	0.3120988313924255
BANF1	0.2232209592106557	0.0690659182042883
RNF13	-0.4554737251437284	0.6801050266040624
TNK2	-0.1632035727353285	0.0991624342249836
MAPKAPK5	-0.4461496922132349	0.8785657395127042
FKBP7	0.1007204210373645	8.169247201e-06
SNCA	-0.4184429028155549	0.9947643337276948
TPMT	-0.5773755886654834	0.0761090643626371
SYNGR2	-0.4530883844701837	0.8473406929715571
STRN	-0.5914779498752204	0.0068351370149094
NIPSNAP1	-1.390160277370337	7.832992118610996e-07
GBAS	-0.0330925283596311	0.0294736224187721
EIF6	-1.008084788333918	0.0005658464764912
SUPT5H	-0.5747935434723049	0.0295384269166905
PDLIM3	-3.326900507206001	0.0077888131639984
EEF1B	-0.540930368022414	0.0918398698381527
SGCE	-0.3374557901234957	0.6008740413772856
PTP4A2	-0.8331785697552562	0.0027044522729457
DGCR14	-0.3144856133602007	0.2856753905935306
GPX4	-0.2915144558415016	0.1407556503698035
GREM1	2.2732429626311204	1.2469062398e-06
CRIPT	-0.3877616388291094	0.8573397715784119
RNASEH1	-0.3648877749099948	0.8111709659895977
DXO	-0.1881968264901983	0.1135619223918274
XIRP1	-4.259340019500916	0.0018749575073665
CBFA2T2	-0.5212621007956075	0.2408531362288682
EMC8	-0.5661469435718568	0.2026566143619774
PDLIM1	-1.9463144228948264	0.0003589552735054
TSPAN6	-0.1469991708908557	0.3900723282714757
STX7	-0.346397744524915	0.5197040042063453
BARD1	0.3821616928687233	1.01680310812e-05
TMEM131	0.2621794570901586	0.0870190000909924
SRPK1	-0.7264769904422431	8.48759050477e-05
CACNG1	0.0706810146475973	0.0467778018123893
DTNB	-0.1005599088512666	0.3387577134354967
RTN2	-0.0798725299461301	0.5003323910151376
COL5A1	0.2428020705011679	0.0098735471378806
CFDP1	-0.6700724447541642	0.0340173905276392
ZNF326	-0.5403009831244808	0.3439431930149257
BAZ1A	-0.189592331695651	0.4900636476496545
AVIL	1.4904331918927651	0.0704517901308708
ZNF106	-0.4322382189220514	0.8704881744027263
PLIN4	-0.0580709053013856	0.1202986201745308
DLL3	-0.5819216577317304	0.1799336791793576
SHOC2	-0.3254975023933109	0.0895551370916515
ZFR	-0.0989135198304352	0.1676557790411875
PARP2	-0.2638189851116126	0.4828036364305427
CLPP	-0.139974475685716	0.1794612632652662
CTBP1	-0.5063462798991052	0.104606546734635
F5	-0.6496628147962465	0.4420111686051564
JTB	-0.5024632450184964	0.2314938586349811
RBBP9	-0.1585122712471436	0.1149704960234648
TSPYL1	-0.4291097004950276	0.8879081256978791
ZFAND5	-0.4266862435967494	0.8368212013547653
SERF1	-0.4434820205763864	0.8649815938090147
ZBTB7A	-0.1682976728079425	0.0172427113622721
STX8	-0.4152666385660842	0.9939470294893972
GCAT	-0.3209055673731048	0.0768158314715561
OLFM1	-1.0499516066172978	0.0007600634532941
ABCD4	-0.1207210610384405	0.1809233431511284
ROBO1	-1.4917418081870046	0.0005929744416685
MKLN1	-0.5197276770649611	0.1986566340577133
RBM3	-0.1870035510940195	0.0890289707426563
LANCL1	-0.2296597392917286	0.0156385427713609
MTCO1	-0.0320589751291754	0.1467631855424542
MTCO2	-0.1961594522989156	0.5858845693074197
MTATP6	-0.2256511045449182	0.1660716747673749
ODC1	-1.2557405231166454	0.0082044454455771
C3	-1.2056183028922824	3.54414920714e-05
C4B	-1.5180473352813535	0.0014517245969393
HBA	-1.157462680643896	0.0244424936852564
H3F3C	0.181747225216498	0.0212404361030138
CSN1S1	-1.7159254781471724	0.1011471819689515
CSN1S2	-1.4836709691753225	0.1790099982959702
LGB	-1.668010915840898	0.1822489098875357
MT2	0.1660960071690037	0.0009958119642157
MT1	0.1825749869929373	0.0030342951162294
MTND1	-0.3822364306470895	0.886957860103838
MTND3	-0.337560611743294	0.870950595856396
MTND4L	-0.3006920746458984	0.7232909292899402
MTND4	-0.0731835731866716	0.1293813459878974
MTATP8	0.2476073748430784	0.0133254556660724
IAP	-0.4856437655782315	0.8142734793948736
GFAP	-0.5895549677037653	0.1991290081922074
PRL2C2	-0.2633260132184845	0.8552521121844178
H2-K1	0.5231078901570118	0.0067273480422314
ARAF	0.0316807508840698	6.8087910124e-06
SLC4A1	-0.8316769136966913	0.362687464515204
GOT1	-0.6642739380248327	0.0085271940370885
GOT2	-0.1616334311567298	0.0021185204925778
SRC	-1.3643632783430746	4.3387977632e-06
XLR	-0.08775399047159	0.1594546317852989
ABCB1B	0.3903538065760759	0.0005194821307482
CTSL	-1.1648917885316088	0.0076090235082466
S100A4	-0.0097594265274075	0.1021435891927533
ERCC1	-0.4951861830116355	0.4363182372681104
PDIA4	0.0066809101244804	0.0506505269404834
CBR2	1.290977599394737	6.75295081363e-05
HSP90B1	-0.4909851775573066	0.3719859412756647
COL3A1	0.3190197685006085	0.0105411101461371
SOD1	-0.4025825738412866	0.9178377025962304
NEFM	-3.768723197619656	8.977953276379315e-08
NRAS	-0.5759342279354823	0.0220228796028737
LTK	0.4023036124245605	0.0004058908684007
HMGN2	0.2260785833663368	0.0483851729762227
SURF2	-0.0686165081860689	0.3438823183019741
PSMG4	-0.0153154802384938	0.0952176178244069
JMJD7	-0.7738622371622339	0.0056026275326677
LY6C1	-2.2001676677352258	0.0242795514902859
TXN	-0.9014893931940192	0.0033599401584239
ZFP11	-0.1326272412823048	0.1088513474706274
SUB1	-0.4865428251367281	0.4378680851344586
COL1A1	0.0435804243858117	0.0245992479488237
GPX1	0.0685814420930889	0.0412384556171777
CDK1	-0.5998925153713153	0.0442533605831537
TIMP1	-1.3250844277736762	8.882142287e-06
RAPSN	-0.3765522007787666	0.8528469763669683
AHSG	-1.2896246985151982	0.0019204118024841
PDCD6	-0.4187663794979966	0.9591573944552206
SCD2	0.0283510095789289	0.2870583969674844
SCD1	-0.3501242627234457	0.7303751429195918
MSH3	0.1085329135134857	0.0286740190834492
S100A6	-0.3511199343054565	0.645668375584843
H2-D1	0.5313215941572235	0.001845132503366
MAP1B	-0.5797694667662173	0.3326898119639424
IFI204	0.2685844457412655	6.97276896024e-05
CDH2	-0.4854089275614876	0.2082306870250649
INSR	-0.3158621416813915	0.1652235595251441
LGALS1	-0.6945362354249329	0.014265829361681
PRKCE	-0.3536163822185666	0.5850150426366485
FGFR1	-0.3354997430750861	0.5804062647647428
CNP	-0.6783417273619272	0.2352871546452812
ZFX	-0.2349905330939299	0.0025317311254327
SELENBP1	-0.3819358530622003	0.6905980827414064
LYZ1	-0.5835647653604992	0.5179613937885561
PCNA	-0.5697310217856103	0.1596041609506825
CYR61	-0.9983116738233078	0.0007454641856602
SDC1	-0.0588190756343428	0.0930037851059737
IFRD1	-0.9978869061620648	0.0584621495011538
F2	-0.3100563726451657	0.4501039372268481
MGP	0.7385198675415274	0.0884322348226142
LSP1	-0.3741407054711578	0.837518716898565
MAP2	-2.3613600687426937	2.141633719541852e-09
EVI2A	-0.9034613562306464	0.0027724296950992
CST3	0.1077087365127361	0.0019688935596092
LMNB2	-0.84061678451078	0.0120422711425907
TGM2	-1.2354561601596434	0.0479508534141935
PTGS1	-0.4272931327221722	0.9641456905906256
CBL	-0.285465281308495	0.177172271422272
CRABP2	-0.6926826201676737	0.0021110687044262
HOXD11	-0.0726933527731515	0.0068229601277167
ZFP36L2	-1.2013050706401298	0.0001143020946966
BCAT1	-0.3776880174260683	0.7882155971374529
ACP2	-0.4947526153277737	0.66243503212746
LYN	-0.5951016776194828	0.1444769928850114
EZR	-1.0091497535009042	6.46315906189258e-08
MSN	-0.6021608696440006	0.0699449103033898
RDX	-0.1233573934659734	9.46196523824e-05
PTMA	-0.2115590648682541	0.2641167170565242
MARCKS	-0.6796695358577822	0.1574449200231119
PLAA	-1.0920892039796466	2.40252160768e-05
CENPB	-0.3384118779896872	0.3984644732178184
BRAF	-0.1230229521662612	0.0164810353995718
CA8	-0.530771354492355	0.8434744470393897
BGN	2.3137767246729526	4.1560081618e-06
NAP1L1	-0.5365839973603883	0.4629353555666167
ATXN10	-0.5529820227673149	0.0019340949346337
CELF1	-0.714515322534391	0.0052809681396414
MARCKSL1	-1.8251713776119016	2.18500012603e-05
PRKCD	-0.5914040604789823	0.3742545004834559
FTL1	-1.8736178035312487	1.43723697552e-05
OAT	-0.0883604740062146	0.0119013148595218
CDK4	-0.479137270087381	0.535440969404296
PPIC	-0.2696471765346763	0.213194597725222
NKTR	-2.0550263725116777	0.1586731447939642
HOXC10	-0.0887443505146141	0.0202824744570856
AKT1	-0.4949305243664165	0.0976887270420328
DRG1	-0.0538519458565109	0.0304307473121256
SERPINC1	-1.0706683162990809	0.0096741099173894
KRAS	-0.5017589507650475	0.7088647361616793
KIF4	0.1354312295458568	0.0027168729680246
RAB3D	-0.0985952230891407	0.0115780226945184
RAB5C	-0.1616818884291835	0.0493982640858069
RAB21	-0.0211353815643837	0.071229963103664
RAB12	-0.1911235419812597	0.19524868679734
RAB22A	-0.339769423742114	0.6322539266856535
RAB23	-0.4246562787676951	0.9096262516078188
RAB24	-0.0130071169570012	0.0013649706570233
RAB18	0.1988296970493446	0.0054412222641865
PLAUR	-0.3100370685761208	0.7477489657171529
TTK	-0.2623014234284566	0.0025480245580371
FMR1	-0.1342971477936548	4.40695709968e-05
GNL1	-0.0988870884621678	0.0038369952178902
ACVR1	-0.2495697425327417	0.0316845896225654
TAGLN	-1.0762467186957552	0.2035007399055241
COL18A1	-1.171797530631971	0.1894477268293731
FYN	-1.5958734614030652	4.35401540595e-05
CD82	-1.991554337271836	0.0150074663073096
IGHMBP2	0.1437902520121161	0.0168012400513747
2-SEP	-0.6063972504963044	0.0318281597423306
STAT1	-0.1596270166091065	0.082482107276231
STAT5A	-0.8496022916323832	3.9951563054e-06
STAT5B	-0.6377631871796288	0.2558330114750985
PURA	-0.4338451846967608	0.8277382763412147
SDC2	-0.0615805865985034	0.0482491582866508
AKR1B8	0.2611867649246404	0.0104118366391788
CFL2	-1.1746382285912755	0.0001454101130084
FKBP2	0.1398520772209709	0.0078108015118744
PDCD2	-0.5449523254637962	0.4577821071172692
MYO1B	-0.15796675821918	0.0396640610656824
CRYZ	-0.0611855899916159	0.0056605227504849
PLA2G4A	0.0365486126397616	0.2191172716824193
GSR	-0.3998623356525632	0.7914315282615335
EMP1	-0.7165014607698061	0.0864819253293278
MAPK14	-0.3859915623809936	0.8139456456796292
LGALS7	-0.3623577779881837	0.7880601434051203
FOSL2	-0.2464609003093124	0.0011975248271394
EIF1	-0.8260294355407417	3.04351350757e-05
SYK	-0.5678196481563278	0.4748461464233788
RFX1	0.1594945809018661	0.0134035275769113
SERPINB4	0.6671642744621292	0.2565877844267484
LMNA	-0.4975616932694472	0.3231467377656021
FPGS	-0.4505492164205055	0.6104334153062849
COX7A2	-0.2456638509121988	0.6570555604023549
MAPKAPK2	-0.3183423683685987	0.1310968776098046
CENPC	0.2791667927637445	0.0029124634978381
HOXC13	-0.0225424268068579	0.0149149683420085
NAT2	-0.0927424644518491	0.023944599645979
ARSB	0.1280903743632417	0.0001007590428404
SHMT1	-0.0627596695003908	0.0018061770026692
CSRP3	-4.130553963126605	0.0121431262527537
DVL1	-0.5813964932337431	0.123828349943267
GSS	-0.7618380581861081	0.0075494558848739
NEK1	-0.0650523877163486	0.0381805595228085
RHOX5	-0.8030867212919507	0.0155751205175231
EFNB1	0.3876041657721404	3.774594776e-06
EFNB2	-0.845485481876179	0.0040684912436182
TMEM165	-0.3121274917290947	0.0496774149796223
NUDT1	-0.4262643875255396	0.8949906595139807
CEBPZ	-0.1285726431151123	0.1871416428690877
PKLR	-0.62247450042303	0.4813769623047454
HCCS	-0.3233474943520285	0.2600818725985382
RAB2A	-0.4468079140669453	0.8072277272513959
ATXN1	-0.422288376272576	0.9393570113693104
MSH6	-0.1083977384082257	0.0054717912257975
PMS2	-0.1132864641042636	0.0119902618167113
NUB1	-0.1140843001389732	0.0101518200842381
FAF1	-1.055246705626694	0.0048657840378437
ADPRH	-0.3588342800836409	0.7467029307240359
RAB8A	-0.2573702945807481	0.126538572609579
LRPAP1	-0.4631950866608624	0.726639115900715
ARPP19	-0.1533445799850189	0.0480734888456084
RAB4A	-0.2406681215956625	0.0591168490635321
ACYP2	-0.8574826604697057	0.0437582673973889
ACYP1	-0.3349153887362341	0.1536678435663109
MP68	-0.6474026647372252	0.0542139790297133
CKS2	-0.7423951920806507	0.0924751408799137
COX17	-0.9949904411349796	0.0004626303817794
SLC1A3	1.9283925247536724	0.0085332662381368
MAZ	-0.0151622326165119	0.0013565348671152
PDCD5	-0.7093512222089928	0.0701961298086281
SSSCA1	-0.5463599010400553	0.5764758055709455
PCBP3	-0.6221701527090239	0.0676295781598037
ERP29	-0.7222902258319979	0.0791932550642467
TM9SF2	-0.5919260296575388	0.0001093675490765
PLSCR4	0.9205199317369944	0.0005811801564636
SMPDL3B	-0.8688502857557248	0.0059105074797964
KLF16	-0.4768761404494584	0.2544594443653549
PPP2R4	-0.3158534172271866	0.0177203794769109
STRN4	-0.8353746448486963	0.0044810924809551
FOXP1	0.4519606535121313	0.0003317918624369
CTDSPL	0.2654949526264111	0.0009413376779022
CTDSP1	-0.0545145473649704	0.1049315435921567
FAM207A	-0.0900989261900327	0.0975106018025421
PAXBP1	-0.269638912253245	0.0617285796879622
RIPK2	0.3548597999362231	0.034797311388395
GMEB2	-0.787254533587695	0.0029536895741485
BCL2L13	-0.0044152871921991	0.0411247884054382
PDRG1	-0.0380989578008357	0.0221059758239098
CPNE2	0.3330845344178312	5.7731619204e-06
PCIF1	-0.3423231256765269	0.1916853419495156
RAB2B	-0.2185908441468776	0.0172547113858995
YTHDF1	-0.6840116124828989	6.7355237888e-06
WDHD1	-0.5679741047708904	0.027088848463163
HPS5	-0.309130402412282	0.1034228754986684
ANKS1A	-0.9361307443051472	0.0001707742870221
MKL2	-1.1665187173625633	0.0141451228805988
SASH1	-0.2540008824615574	0.3767373990811331
PCMTD1	-0.0104446637364025	0.0107467021405308
ELOF1	-0.7037112022188656	0.0181284568171633
PDXP	-0.7261017832148213	0.0292423010843488
ROMO1	-0.0144467905003279	0.0286280142267924
CIRBP	-0.4717232292716236	0.4632915836603081
ENSA	-0.7034974093374471	0.1040017231924312
RAB5B	0.0124411238556947	0.0443787246423474
CHP1	-0.7454205824942471	0.0345987989801332
RAB10	-0.503989111391583	0.4726604184682392
SIAH1A	-0.3241980822073394	0.7143988024316791
ARL1	-0.2619109276178938	0.0002502373228113
NAA20	-0.7692737506334253	0.0065520364231418
SUMO2	-0.1565329156780514	0.0661513022307509
UFM1	-0.6047980394811786	0.1333020517720676
LMO4	-0.4792613895589301	0.0731219739123897
NUTF2	-0.375504424548942	0.6811775705230246
LRCH1	-0.0640297144056895	0.000603861439392
TIMM10	-0.4268851383660431	0.9323977463733072
SNRPD3	-0.629705074539615	0.0115333872732109
SELT	-0.0025112693602555	0.1634046471726256
HPCAL1	-0.7372364289027425	0.0029143855456102
MTPN	-0.8592203915409169	0.311503557706182
TCEB2	-0.5729275808527068	0.0351716432853277
TPT1	-1.4116732137961807	0.0036242569272525
GNAS	-0.6172931747403214	0.0062207212424857
HMGB1	-0.3336923153641555	0.1183925461633478
SUMO1	-0.024387006506652	0.0014147235081643
EIF5A	-0.4547882037820743	0.5338236394787663
CRIP1	-1.3890247872110928	0.0030506143293046
SUPT4H1A	-0.5992084983043232	0.2960134528411678
RALA	-0.5989350282785461	0.076848990362396
HIST1H3A	-0.1288859576976127	0.3252482126114187
ZHX1	-0.3852438551776497	0.7071186807692806
SBDS	-0.8152640027818427	0.0026626059306845
TRAF5	0.303041205418928	0.0004579866060426
LXN	-0.9082607230526242	0.0196309762927741
MAP2K6	1.150204303633961	3.504220798202554e-07
PALD1	-0.4498146809505453	0.7213412575972177
PKN1	-0.5361341967410338	0.0016498001811066
RAD54L	-0.4941359189344111	0.5920703738261859
PDLIM4	-1.4832921035225497	0.0005290913127025
SURF6	-0.6792641347613799	0.0128770703236598
AUP1	0.8449795656407924	0.0008561012307006
TANK	-0.5010304678312695	0.4371495528059362
HINT1	-0.1827678298776269	0.0034541844904637
SLC9A3R1	-2.343923662294733	5.69901838167e-05
EIF4EBP2	-1.4449331134511685	0.0123051935475231
ERF	-1.1068741865117346	0.0002267114019724
NACA	-1.4693430659487736	0.009506078812802
GABPB2	0.0088817069962015	0.0012475865650828
NUCB2	-0.3328548216725021	0.6293795200057797
ATF1	-0.4751413206841809	0.3647273535066123
SGCD	2.080289901467113	2.7417038199e-05
SGCB	1.2349596836911798	3.09981540987e-05
STIM2	-0.3259897727460642	0.7520853313921622
TCEB1	-0.5699581478246866	0.2876890655629435
ERH	-0.555298939482403	0.2118695255903368
SERF2	-0.1251853411334058	0.0194524921048209
TIGIT	-1.347867917581145	0.0169682517062009
SERPINF1	-0.1370683673856163	0.3696736524876171
BACH1	-1.24584643365253	0.0008606714139599
PRKDC	-0.0404565859236227	0.0117409260807553
CSRP2	-0.3562863860198799	0.7647623886971362
NXN	-0.4581221100735734	0.5105808558044392
S100A13	-0.2568358517691483	0.0898116443039965
ETV6	-0.1822009383494243	0.1433215224649618
SPTLC2	-0.244717002466854	0.1668423335524848
EVI5	-0.5514209248179529	0.0613362632507705
MEIS2	-1.0366704138799605	0.0004720275127345
FRG1	-0.4658733610141871	0.1787188268529188
ANXA11	-1.090769052857439	2.42972389799e-05
ICA1	-0.4898394989477501	0.7391842061800797
LYST	-0.2838814781196414	0.0016379767269886
ANXA4	-0.3128546876941539	0.6013840002271356
PAM	-0.5425218540479206	0.2053575609781635
GCLC	-0.2062975425859593	0.0079664523446783
TEP1	-0.2195280012902727	0.0984653204834836
RP9	-0.2677131392519403	0.0988946729415575
WBP2	-0.5344897117239606	0.4053836225313463
THUMPD3	-0.0341830291009681	0.0265247782960169
CRY1	-0.1838696670966346	0.0105350566807895
CDR2	-0.8944659769649718	0.0427155756706556
ANP32E	-0.888653795467197	7.17003676707e-05
HN1	-0.9390623524502966	0.0237085538520198
G3BP1	-0.5136091656998596	0.1997751119613057
ARVCF	-1.4162566130221674	9.4401835258e-06
STX2	-0.1323597209425886	0.1169283059766395
GABPB1	-0.6202289113890446	0.090841296419416
F8A1	-0.5585231972242847	0.2438135114235489
IL6ST	-0.2893710919654336	0.1645187261191638
G6PDX	0.4928407593864776	0.0001653442394427
APOA1	-0.7259629745244626	0.0512243071254666
HNRNPUL2	-0.1418788005131581	0.0279635963644294
CREB1	-0.6027372254057178	0.1600716754239994
COL1A2	0.3357797068775412	0.0180735603828194
NOTCH1	-1.158840371127377	0.0203744573738945
TCP11	-0.9238115206992146	0.0039099530719182
ZFP41	-0.5677853963586905	0.0674176631610635
COL6A2	3.2964479208233595	0.0176158397130392
NUCB1	-0.0363219486052867	0.0083142976555326
SMARCAD1	-0.3921359883214941	0.6215940806733641
CDK16	-1.0578879027054844	4.71322848352692e-07
COL6A1	3.485593886009033	0.0187130812575287
CDK18	-1.097702199712394	2.2574688743e-06
RCN1	0.0583595401875929	5.79952349821e-05
MARK2	-0.1477109094785168	0.0073528040065227
PTGS2	1.0785425676146752	0.046242157660982
FMN1	0.2365668981455571	0.0149465166706373
PTPRG	-0.2921078998804032	0.4206377276882207
EML1	0.1969388455936649	0.0099875000905509
LARP7	-0.4756592367384036	0.3754108204287989
SH3BP2	-1.3642983850162915	9.6242424343717e-09
ANXA7	-0.9754847374536912	0.0039961776078137
ZSCAN21	-0.7852016992452445	0.0035256861207067
HGF	1.0143989814925929	0.0002886995011288
CNN1	-0.8406616743616376	0.0338766343992947
TGM3	-1.0808400003167384	0.0808524501709771
LYAR	0.0026736481288797	0.1527795710110907
ZBTB14	-0.3668089664168294	0.6667333003958444
RUNX2	-0.3761972399723675	0.77866325637881
INF2	-0.1734676815786757	0.0009061893821397
UBXN2B	-1.0928371076036196	0.0013093110707407
VPS8	-0.3187118919375648	0.0663172754927965
LRRIQ1	-0.5499960125480129	0.3650370837130927
TPPP2	-0.4156438591673635	0.9964974268842752
ZC3H18	-0.5131835005813247	0.1489540466579901
ZNF800	-0.0071533201016843	0.0009968607429933
ZGRF1	-0.0291296811563433	0.0171148224569688
TANC1	-0.3620350746757089	0.6180099031778487
PEPD	-0.752574716311859	0.0007884090866677
KIAA1468	-0.2651446383470432	0.1622761704523722
FAM83H	-0.6592053077301753	0.2473329171080619
DUSP27	-1.7128560261972148	4.1244799072e-06
RPUSD2	-0.5509132162301819	0.2849283899556891
RTKN2	1.1050143754903397	0.0003997504069354
CDCA2	0.1653321643282651	0.020394130219625
SPECC1L	-0.465397841306829	0.5327020921893928
HSDL2	-0.7378422196099647	0.0324770033253553
HELQ	-0.1383337352585804	0.1708143955645226
MSTO1	-0.7861808695789342	0.0082327028058649
DUS4L	-0.1399884905054056	0.0109442612403759
CNNM3	0.0377844578918339	0.0012003699507073
TCERG1L	-0.4655719419747424	0.5484469369329155
5-MAR	0.4028523489735043	0.0193200998593827
HDDC2	-0.1198388760825898	0.1780384995336632
TMEM120B	-0.846936810229618	0.0342371822949581
EMC10	0.0845103101732855	0.0076229494629344
TMEM104	-0.1987140234291756	0.000320717471581
PLEKHF1	0.013241983268622	6.99943861342e-05
